budget,runtime,vote_average,vote_count,popularity,release_year,release_month,primary_genre,lead_actor,director,production_company,release_season,budget_per_minute,vote_weighted_score,budget_log,popularity_log,revenue,roi
2000000,105.0,6.6,70.0,4.126083,1992,4,Drama,Marco Leonardi,Alfonso Aráu,Aviacsa,Spring,19047.619047619046,28.13368718847268,14.508658238524095,1.634341819773335,21665468.0,9.832734
30000000,133.0,7.2,636.0,12.199047,1994,12,Adventure,Brad Pitt,Edward Zwick,Bedford Falls Productions,Winter,225563.9097744361,46.488741520119575,17.216707972959764,2.5801446300163016,160638883.0,4.354629433333334
17000000,106.0,6.4,28.0,7.698526,1995,3,Drama,Jessica Lange,Stephen Gyllenhaal,Paramount Pictures,Spring,160377.35849056602,21.550693311913435,16.648723960844016,2.1631535860190967,7603766.0,-0.5527196470588235
45000000,123.0,6.1,272.0,14.287753,1994,11,Drama,Robert De Niro,Kenneth Branagh,American Zoetrope,Fall,365853.65853658534,34.21777795062825,17.622173069956816,2.7270520503448696,112006296.0,1.4890288
6,95.0,5.6,7.0,1.137266,1995,1,Comedy,Sarah Jessica Parker,David Frankel,Hollywood Pictures,Winter,0.06315789473684211,11.64487263340708,1.9459101490553132,0.7595274421518866,5.0,-0.16666666666666666
31000000,112.0,6.1,128.0,5.930957,1994,12,Drama,Jodie Foster,Michael Apted,Twentieth Century Fox Film Corporation,Winter,276785.71428571426,29.644855666606198,17.249497794707484,1.9359978989056374,106683817.0,2.4414134516129034
34000000,119.0,6.9,927.0,11.226856,1994,8,Crime,Woody Harrelson,Oliver Stone,Regency Enterprises,Summer,285714.28571428574,47.147918956224785,17.341871111992198,2.5036348438783396,50282766.0,0.47890488235294115
50000000,127.0,6.4,522.0,13.676444,1995,3,Action,Dustin Hoffman,Wolfgang Petersen,Kopelson Entertainment,Spring,393700.7874015748,40.06132137001551,17.72753358339242,2.68624375951047,189859560.0,2.7971912
16000000,110.0,8.2,4293.0,20.477329,1994,9,Thriller,Jean Reno,Luc Besson,Columbia Pictures,Fall,145454.54545454544,68.59278662319755,16.588099342704055,3.066997913677869,45284974.0,1.830310875
11000000,113.0,6.6,9.0,1.433544,1995,5,Comedy,Marisa Tomei,Mira Nair,"Samuel Goldwyn Company, The",Spring,97345.13274336283,15.197061613760702,16.213405921671733,0.8893486310812728,2832826.0,-0.7424703636363637
